id;nome_campo;valor_anterior;valor_novo;solicitacao_id
1;invoice;alarm Jamaica;system Gorgeous Rubber Pants;1
2;hack;leading-edge;Ergonomic Steel Gloves;2
3;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;3
4;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;4
5;multi-byte Jamaican Dollar North Carolina;Station;parsing Investment Account;5
6;Branding Dynamic black;yellow;Books Generic;6
7;robust withdrawal generate;Garden open-source hybrid;Solomon Islands Dollar;7
8;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;8
9;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application;9
10;Fantastic;Liechtenstein Buckinghamshire monetize;Direct;10
