id;criacao;descricao;registro_id;tipo_id
1;2019-10-22T23:32:21;Dalasi;1;1
2;2019-10-23T03:44:09;Credit Card Account Maryland Legacy;2;2
3;2019-10-23T13:33:14;web-enabled Brand Regional;3;3
4;2019-10-23T03:42:33;Money Market Account;4;4
5;2019-10-23T07:59:15;olive;5;5
6;2019-10-23T03:30:58;one-to-one Indiana;6;6
7;2019-10-23T12:46:45;Engineer Architect;7;7
8;2019-10-22T21:53:20;Falkland Islands (Malvinas);8;8
9;2019-10-23T07:12:58;multi-byte Pound Sterling;9;9
10;2019-10-23T10:44:31;Senior;10;10
