id;criacao;descricao;tipo_id;unidade_id
1;2019-10-23T07:46:04;Utah Computers Small Fresh Gloves;1;1
2;2019-10-23T06:00:00;Plastic South Georgia and the South Sandwich Islands;2;2
3;2019-10-22T20:09:54;lavender;3;3
4;2019-10-22T23:41:43;Refined Intelligent Granite Shirt;4;4
5;2019-10-23T01:40:10;deposit panel Strategist;5;5
6;2019-10-23T02:15:13;alliance redundant global;6;6
7;2019-10-23T04:06:34;Gorgeous Electronics Brand;7;7
8;2019-10-22T18:34:53;Saudi Riyal paradigms;8;8
9;2019-10-23T10:29:08;Table Enterprise-wide Benin;9;9
10;2019-10-22T21:29:40;invoice;10;10
